"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT3G30775",181.163760242864,0.291250074005891,0.284809129188591,1.02261495211074,0.306489937221907,0.999983548132501
"AT3G30841",12.8437194657251,0.496200411718059,0.723936981087299,0.685419345441923,0.493079339952296,0.999983548132501
"AT3G30875",13.7118357519481,0.1284573615152,0.702710420099824,0.182802699150173,0.854952830684989,0.999983548132501
"AT3G32030",5.84480137157676,1.44564559291342,1.13417636738065,1.27462150904457,0.202443240624108,NA
"AT3G32040",48.9892759961268,0.0818704360971901,0.410106834106539,0.199631972180014,0.841768420888841,0.999983548132501
"AT3G32980",108.12186805826,0.107244778458953,0.296280529438038,0.361970388882341,0.717374158399536,0.999983548132501
"AT3G33530",34.3832703190131,0.370043330251352,0.466915017357974,0.792528225682763,0.428052740515309,0.999983548132501
"AT3G41762",91.3838757016385,-0.289497681104336,0.315438804582436,-0.917761787385545,0.358743591892177,0.999983548132501
"AT3G41768",1765.56754305823,-0.58992522950001,0.201195965085035,-2.93209274475599,0.00336686184179088,0.134907942193511
"AT3G41979",176.15214805523,-0.579526689790313,0.261005050327247,-2.22036580925811,0.0263939460044033,0.613938841488016
"AT3G42050",85.8857896763824,-0.214526686788129,0.333964175528222,-0.642364368719541,0.520636629124228,0.999983548132501
"AT3G42052",10.4976363248868,-1.21048042123697,0.784930191337506,-1.54215041617183,0.123037045955509,0.999983548132501
"AT3G42170",45.4761716246817,0.0621298569064053,0.415261810125613,0.149616110587226,0.881067496849857,0.999983548132501
"AT3G42660",9.53860195868792,1.04868665568567,0.862867651385164,1.21535052797751,0.224232428113628,0.999983548132501
"AT3G42790",53.4697366659954,0.00988237469360124,0.389546632192601,0.0253689131849949,0.979760706808603,0.999983548132501
"AT3G42806",10.3332744988072,-0.212012539465178,0.779068153349126,-0.272136062235069,0.785517401877406,0.999983548132501
"AT3G42950",19.6656288110765,-0.0112148674414647,0.583367148904589,-0.0192243726142674,0.984662114659443,0.999983548132501
"AT3G43110",22.887290421049,-0.309493386464237,0.538490259588635,-0.57474277566444,0.565465273226784,0.999983548132501
"AT3G43190",256.258190267136,-0.00902339809597409,0.26720679169544,-0.0337693441050663,0.973061081856812,0.999983548132501
"AT3G43220",16.9009701037095,0.00372739474062766,0.620746822348562,0.00600469403375319,0.99520897612928,0.999983548132501
"AT3G43230",41.845618826075,0.43971654101452,0.424574274702038,1.03566458736368,0.300358648759692,0.999983548132501
"AT3G43240",29.1492179400061,-0.246707746251941,0.520485520796169,-0.473995406970322,0.635503182532149,0.999983548132501
"AT3G43300",81.6587829534554,0.148945484150992,0.346386628929726,0.429997787764519,0.667197250431944,0.999983548132501
"AT3G43520",39.7268000205041,-0.0131277716631442,0.447666307467448,-0.0293249043856149,0.976605464613595,0.999983548132501
"AT3G43590",16.5245444240601,-0.241493358362133,0.64294855212742,-0.375602927424081,0.707212114101631,0.999983548132501
"AT3G43600",57.0731980502923,0.346144519589512,0.368391298335833,0.939611009144846,0.347417127132153,0.999983548132501
"AT3G43670",30.420908545492,0.741289408380246,0.492273979842956,1.5058472288475,0.132106396018107,0.999983548132501
"AT3G43690",9.35988979635535,-0.92318227390137,0.819629230363593,-1.12634132568923,0.26002107190108,0.999983548132501
"AT3G43720",17.3022383572747,0.741068557627787,0.62930698962725,1.17759467134909,0.238958235230167,0.999983548132501
"AT3G43740",9.42893721875325,0.501240632029173,0.821547156578546,0.610117907432926,0.541783705029554,0.999983548132501
"AT3G43800",74.4940708879749,-0.425045494149345,0.332267352554014,-1.2792273778395,0.200816997532356,0.999983548132501
"AT3G43810",109.819188147863,-0.350579223546209,0.304072941335059,-1.1529444941959,0.248933167709188,0.999983548132501
"AT3G43955",6.60114701959141,0.823173510308034,1.05356856294115,0.781319355249225,0.434614689078787,NA
"AT3G43960",11.0741195617763,-0.0828698270500466,0.75244443031838,-0.110134149062652,0.912302985844342,0.999983548132501
"AT3G43980",17.3799527588597,-0.99676148711438,0.613496127546164,-1.62472335579555,0.104221518470114,0.999983548132501
"AT3G44010",78.4955102079474,-0.417559947419212,0.349090090614381,-1.19613807050303,0.231642683209768,0.999983548132501
"AT3G44100",20.7371455626126,0.220281008243506,0.575514342020866,0.382755028258739,0.701901409018803,0.999983548132501
"AT3G44110",349.722863210149,-0.350989898123207,0.217921220374674,-1.61062744380629,0.107260948504356,0.999983548132501
